CSVInsert(备注栏),标题(1),类型(2),解答(3),答案(4),分值(5),答错扣分(可选项)(6),分级level(7),Tag(8),留空列(9),留空列(10),选项A(11),选项B(12),选项C(13),选项d(14),…
1,我们经常所说的“网络就是计算机”。你知道这曾经是哪家公司提出的理念?,1,,13,1,,1,2006等考三级网络技术A,,,IBM公司,HP公司,SUN公司,HP公司,
2,有一条指令用十六进制表示为CD21，用二进制表示为 ,1,,12,,,1,,,,1101110000100001,110011010010000l,1100110100010010,1101110000010010,
3,系统的可靠性通常用平均无故障时间表示，它的英文缩写是 ,1,,11,,,,,,,MTBF,MTTR,ETBF,ETTR,
4,通过多机协作，可以共同解决一个复杂的大问题。在奔腾芯片中，支持这项技术的是 ,1,,14,,,,,,,超标量技术,超流水技术,多线程技术,多重处理技术,
5,PnP主板主要是支持,1,,13,,,,,,,多种芯片集,大容量存储器,即插即用,宽带数据总线,
6,在软件生命周期中，下列哪个说法是不准确的?,1,,12,,,,,,,软件生命周期分为计划、开发和运行三个阶段,在计划阶段要进行问题焉醛和需求分析,在开发后期要进行编写代码和软件测试,在运行阶段主要是进行软件维护,
7,网络操作系统要求网络用户在使用时不必了解网络的<br />I．拓扑结构 II．网络协议 III．硬件结构,1,,14,,,,,,,仅I和II,仅II和III,仅I和III,全部,
8,IPv6的地址长度为,1,,13,,,,,,,32位,64位,128位,256位,
9, 城域网设计的目标是满足城市范围内的大量企业、机关与学校的多个 ,1,,11,,,,,,,局域网互联,局域网与广域网互联,广域网互联,广域网与广域网互联,
10,光纤作为传输介质的主要特点是<br />I．保密性好 II．高带宽 III．底误码率 Ⅳ．拓扑结构复杂,1,,12,,,,,,,I、II和IV,I、II和III ,II和IV,III和IV ,
11,人们将网络层次结构模型和各层协议定义为网络的,1,,13,,,,,,,拓扑结构,开放系统互联模型,体系结构,协议集,
12,关于网络体系结构，以下哪种描述是错误的?,1,,12,,,,,,,物理层完成比特流的传输,数据链路层用于保证端到端数据的正确传输,网络层为分组通过通信子网选择适合的传输路径,应用层处于参考模型的最高层,
13,关于TCP/IP参考模型传输层的功能，以下哪种描述是错误的?,1,,13,,,,,,,传输层可以为应用进程提供可靠的数据传输服务,传输层可以为应用进程提供透明的数据传输服务,传输层可以为应用进程提供数据格式转换服务,传输层可以屏蔽低层数据通信的细节,
14,在因特网中，地址解析协议ARP是用来解析,1,,11,,,,,,,IP地址与MAC地址的对应关系,MAC地址与端口号的对应关系,IP地址与端口号的对应关系,端口号与主机名的对应关系,
15,速率为l0Gbps的Ethernet发送l bit数据需要的时间是,1,,13,,,,,,,l×10-6秒,1×10-9秒,l×10-10秒,1×10-12秒,
16,以下关于误码率的描述中，哪种说法是错误的? ,1,,12,,,,,,,误码率是指二进制码元在数据传输系统中传错的概率,数据传输系统的误码率必须为0,在数据传输速率确定后，误码率越低，传输系统设备越复杂,如果传输的不是二进制码元，要折合成二进制码元计算
17,以下哪个不是决定局域网特性的要素? ,1,,14,,,,,,,传输介质,网络拓扑,介质访问控制方法,网络应用
18,在总线型局域网中，由于总线作为公共传输介质被多个结点共享，因此在工作过程中需要解决的问题是,1,,12,,,,,,,拥塞,冲突,交换,互联
19,以下关于Token Bus局域网特点的描述中，哪个是错误的? ,1,,13,,,,,,,令牌是一种特殊结构的帧，用来控制结点对总线的访问权,令牌总线必须周期性地为新结点加入环提供机会,令牌总线不需要进行环维护,令牌总线能够提供优先级服务
20,关于共享式Ethemet的描述中，哪个是错误的?,1,,11,,,,,,,共享式Ethemet的连网设备复杂,共享式。Ethemet的覆盖范围有限,共享式Ethemet不能提供多速率的设备支持,共享式Ethemet不适用于传输实时性要求高的应用
21,虚拟局域网采取什么方式实现逻辑工作组的划分和管理？,1,,12,,,,,,,地址表,软件,路由表,硬件
22,Gjgabit Ethemet 为了保证在传输速率提高到1000Mbps时不影响MAC子层，定义了一个新的 ,1,,11,,,,,,,千兆介质专用接口,千兆单模光纤接口,千兆逻辑链路子层接口,千兆多模光纤接口 
23,IEEE802.11使用的传输技术为,1,,14,,,,,,,红外、跳频扩频与蓝牙,跳频扩频、直接序列扩频与蓝牙,红外、直接序列扩频与蓝牙,红外：跳频扩频与直接序列扩频 
24,动在VLAN的划分中，不能按照以下哪种方法定义其成员?,1,,13,,,,,,,交换机端口,MAC地址,操作系统类型,IP地址
25,以下关于组建一个多集线器10Mbps以太网的配置规则，哪个是错误的? ,1,,11,,,,,,,可以使用3类非屏蔽双绞线,每一段非屏蔽双绞线长度不能超过100米,多个集线器之间可以堆叠,网络中可以出现环路时 
26,关于操作系统，以下哪种说法是错误的? ,1,,12,,,,,,,设备I/O通过驱动程序驱动外部设备,文件I/O管理着应用程序占有的内存空间,在保护模式下，当实内存不够用时可生成虚拟内存以供使用,在多任务环境中，要把CPU时间轮流分配给各个激活的应用程序
27,关于网络操作系统，以下哪种说法是错误的? ,1,,11,,,,,,,提供防火墙服务,屏蔽本地资源与网络资源之间的差异,管理网络系统的共享资源,为用户提供基本的网络服务功能 
28,对于Windows 2000 Server，以下哪种说法是错误的?,1,,13,,,,,,,域是它的基本管理单位,活动目录服务是它最重要的功能之一,域控制器分为主域控制器和备分域控制器,它不划分全局组和本地组 
